Products,Prod_id,Cust_id,Sales,Order_Quan,Profit,Shipping_Cost,Product_Base_Margin,Customer_Segment
OFFICE MACHINES,Prod_17,Cust_225,20265.22,47,6168.64,14.7,0.59,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_942,24559.91,47,7358.66,16.63,0.37,SMALL BUSINESS
COMPUTER PERIPHERALS,Prod_8,Cust_942,21320.58,27,5381.02,16.06,0.79,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1606,15602.93,48,4875.89,26.53,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1443,15703.82,20,3055.72,16.06,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_48,10994.74,30,3612.58,48.26,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_68,15152.55,34,7719.21,28.14,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_68,1253.89,5,-577.48,17.86,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_79,2951.97,4,-1890.33,16.06,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_79,19539.94,39,4914.24,16.63,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_445,18316.3,32,4569.06,14.7,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1534,19707.2,3,-12558,24.49,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1437,12635.75,48,-335.24,35,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1445,3533.97,46,-1329.81,35,0.36,HOME OFFICE
VENDING MACHINE,Prod_1,Cust_1445,7731.09,43,-222.17,35,0.72,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_496,6693.28,23,40.32,69,0.58,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_57,3922.42,44,-354.9,39.61,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_130,3981.23,21,294.94,19.99,0.49,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_500,4039.72,44,-237.6,39.61,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_840,4558.21,11,993.81,11.37,0.59,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1212,3668.6,24,993.15,7.07,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1636,4846.68,42,820.94,13.99,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1151,18888,3,-14140.7,24.49,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_487,19100.45,40,6839.95,14.7,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1149,21320.58,27,5381.02,16.06,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_60,13671.94,33,5711.96,48.26,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1670,29186.49,38,11562.08,55.3,0.4,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1288,26095.13,35,12606.81,55.3,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1207,25409.63,20,11535.28,19.99,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_163,26622.55,49,3146.22,45.7,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_507,26133.39,30,-11053.6,44.55,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1817,28180.08,32,7513.88,44.55,0.4,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_532,29345.27,34,7497.55,44.55,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1771,28389.14,33,7132.18,44.55,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_73,33367.85,9,3992.52,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1098,29884.6,49,12748.86,24.49,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1210,27820.34,48,11630.15,24.49,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_503,28761.52,8,285.11,24.49,0.35,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_809,27720.98,46,11984.4,24.49,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_709,27663.92,8,-391.92,24.49,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_921,15152.55,34,7719.21,28.14,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1686,20329.8,19,9224.1,13.99,0.55,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_164,45923.76,7,102.61,24.49,0.39,CORPORATE
VENDING MACHINE,Prod_1,Cust_164,22145.37,11,6138.48,13.99,0.84,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1012,18316.3,32,4569.06,14.7,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_404,19707.2,3,-12558,24.49,0.57,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1371,25313.34,35,8612.11,16.06,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_132,23300.12,9,-217.47,29.7,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1830,21921.28,43,10521.33,28.14,0.58,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1252,29186.49,38,11562.08,55.3,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1647,20265.22,47,6168.64,14.7,0.54,CORPORATE
OFFICE MACHINES,Prod_17,Cust_395,24559.91,47,7358.66,16.63,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_610,15464.01,33,4407.44,14.7,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_433,27875.54,46,-635.69,24.49,0.4,CORPORATE
VENDING MACHINE,Prod_1,Cust_433,28359.4,49,14440.39,24.49,0.59,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1581,41343.21,8,3852.19,24.49,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_138,25312,48,8788.81,16.63,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1331,19014.24,4,-10263.66,24.49,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_852,18888,3,-14140.7,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_932,29186.49,38,11562.08,55.3,0.39,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_963,26095.13,35,12606.81,55.3,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_465,25409.63,20,11535.28,19.99,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1321,26622.55,49,3146.22,45.7,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_867,26133.39,30,-11053.6,44.55,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1509,28180.08,32,7513.88,44.55,0.4,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1239,29345.27,34,7497.55,44.55,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1626,28389.14,33,7132.18,44.55,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1133,26126.92,42,9498.6,24.49,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1414,28664.52,50,13340.26,24.49,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1038,33367.85,9,3992.52,24.49,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1261,29884.6,49,12748.86,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1700,27820.34,48,11630.15,24.49,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_467,28761.52,8,285.11,24.49,0.58,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1520,27720.98,46,11984.4,24.49,0.49,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_205,27663.92,8,-391.92,24.49,0.38,SMALL BUSINESS
COMPUTER PERIPHERALS,Prod_8,Cust_172,21141.07,49,6225.36,24.49,0.48,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1633,13698.96,4,-9078.94,24.49,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1320,17599.39,28,5513.86,24.49,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_276,23949.51,46,-1312.84,24.49,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_276,26126.92,42,9498.6,24.49,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_666,28664.52,50,13340.26,24.49,0.37,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1080,16468.55,39,5638.75,49,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_993,19461.8,43,7752.01,49,0.49,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1278,9862.51,15,325.29,24.49,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1155,8662.34,15,-704.66,49,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_913,12343.07,25,3972.72,69.3,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_343,20329.8,19,9224.1,13.99,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1263,45923.76,7,102.61,24.49,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1145,27875.54,46,-635.69,24.49,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1078,41343.21,8,3852.19,24.49,0.49,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1415,25312,48,8788.81,16.63,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1429,19100.45,40,6839.95,14.7,0.4,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_955,21320.58,27,5381.02,16.06,0.4,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1714,197.61,13,3.46,7.27,0.35,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1677,193.84,23,-117.1,8.94,0.49,CORPORATE
RUBBER BANDS,Prod_7,Cust_1733,92.24,19,-60.58,5.24,0.54,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1681,229.26,31,-37.2,5.48,0.57,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_543,15464.01,33,4407.44,14.7,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1709,29186.49,38,11562.08,55.3,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1026,26095.13,35,12606.81,55.3,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1160,25409.63,20,11535.28,19.99,0.37,CORPORATE
OFFICE MACHINES,Prod_17,Cust_223,26622.55,49,3146.22,45.7,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1421,26133.39,30,-11053.6,44.55,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_286,28180.08,32,7513.88,44.55,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_160,29345.27,34,7497.55,44.55,0.39,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_160,28389.14,33,7132.18,44.55,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_199,26126.92,42,9498.6,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_424,28664.52,50,13340.26,24.49,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_424,33367.85,9,3992.52,24.49,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1333,29884.6,49,12748.86,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_540,27820.34,48,11630.15,24.49,0.36,HOME OFFICE
COMPUTER PERIPHERALS,Prod_8,Cust_540,28761.52,8,285.11,24.49,0.67,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1171,27720.98,46,11984.4,24.49,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1163,27663.92,8,-391.92,24.49,0.59,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1163,19539.94,39,4914.24,16.63,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_407,29186.49,38,11562.08,55.3,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_429,26095.13,35,12606.81,55.3,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_591,25409.63,20,11535.28,19.99,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_250,26622.55,49,3146.22,45.7,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_250,26133.39,30,-11053.6,44.55,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_250,28180.08,32,7513.88,44.55,0.6,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_400,29345.27,34,7497.55,44.55,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_336,28389.14,33,7132.18,44.55,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_336,26126.92,42,9498.6,24.49,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1731,28664.52,50,13340.26,24.49,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1465,33367.85,9,3992.52,24.49,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1334,29884.6,49,12748.86,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1270,27820.34,48,11630.15,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1365,28761.52,8,285.11,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_482,27720.98,46,11984.4,24.49,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1233,27663.92,8,-391.92,24.49,0.57,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1287,27875.54,46,-635.69,24.49,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_325,28359.4,49,14440.39,24.49,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_230,41343.21,8,3852.19,24.49,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_230,25312,48,8788.81,16.63,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_959,19014.24,4,-10263.66,24.49,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1260,18888,3,-14140.7,24.49,0.37,CORPORATE
OFFICE MACHINES,Prod_17,Cust_65,21320.58,27,5381.02,16.06,0.49,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_555,15602.93,48,4875.89,26.53,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_555,15703.82,20,3055.72,16.06,0.36,CORPORATE
OFFICE MACHINES,Prod_17,Cust_588,10994.74,30,3612.58,48.26,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1143,15152.55,34,7719.21,28.14,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1303,20329.8,19,9224.1,13.99,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_263,45923.76,7,102.61,24.49,0.39,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1282,22145.37,11,6138.48,13.99,0.57,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1282,18316.3,32,4569.06,14.7,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1310,19707.2,3,-12558,24.49,0.4,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1541,25313.34,35,8612.11,16.06,0.55,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_162,23300.12,9,-217.47,29.7,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_568,21921.28,43,10521.33,28.14,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_621,29186.49,38,11562.08,55.3,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1406,20265.22,47,6168.64,14.7,0.52,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1140,24559.91,47,7358.66,16.63,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_243,15703.82,20,3055.72,16.06,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_593,10994.74,30,3612.58,48.26,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_836,15152.55,34,7719.21,28.14,0.6,CORPORATE
OFFICE MACHINES,Prod_17,Cust_469,18316.3,32,4569.06,14.7,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1276,19707.2,3,-12558,24.49,0.57,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1281,15464.01,33,4407.44,14.7,0.59,CORPORATE
OFFICE MACHINES,Prod_17,Cust_943,18316.3,32,4569.06,14.7,0.37,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1147,19707.2,3,-12558,24.49,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1446,12343.07,25,3972.72,69.3,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1236,20329.8,19,9224.1,13.99,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_237,45923.76,7,102.61,24.49,0.4,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1696,19100.45,40,6839.95,14.7,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1271,21320.58,27,5381.02,16.06,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1345,25313.34,35,8612.11,16.06,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_238,27875.54,46,-635.69,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1068,28359.4,49,14440.39,24.49,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1461,41343.21,8,3852.19,24.49,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1697,25312,48,8788.81,16.63,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_342,18316.3,32,4569.06,14.7,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_473,19707.2,3,-12558,24.49,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_473,15464.01,33,4407.44,14.7,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1189,20329.8,19,9224.1,13.99,0.58,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1375,45923.76,7,102.61,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_133,22145.37,11,6138.48,13.99,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1796,18316.3,32,4569.06,14.7,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1796,19707.2,3,-12558,24.49,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_302,25313.34,35,8612.11,16.06,0.4,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_186,23300.12,9,-217.47,29.7,0.57,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1216,21921.28,43,10521.33,28.14,0.59,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1473,29186.49,38,11562.08,55.3,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1815,20265.22,47,6168.64,14.7,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_300,24559.91,47,7358.66,16.63,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_587,19014.24,4,-10263.66,24.49,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1034,18888,3,-14140.7,24.49,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1034,20329.8,19,9224.1,13.99,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1179,45923.76,7,102.61,24.49,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_580,22145.37,11,6138.48,13.99,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_583,18316.3,32,4569.06,14.7,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_232,19707.2,3,-12558,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_988,25313.34,35,8612.11,16.06,0.59,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1816,23300.12,9,-217.47,29.7,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1296,21921.28,43,10521.33,28.14,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1801,29186.49,38,11562.08,55.3,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1214,20265.22,47,6168.64,14.7,0.56,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1195,24559.91,47,7358.66,16.63,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1692,28359.4,49,14440.39,24.49,0.56,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1181,41343.21,8,3852.19,24.49,0.56,CORPORATE
OFFICE MACHINES,Prod_17,Cust_110,25312,48,8788.81,16.63,0.38,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1306,14383.83,37,5050.1,12.06,0.59,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_42,20329.8,19,9224.1,13.99,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_486,45923.76,7,102.61,24.49,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1698,22145.37,11,6138.48,13.99,0.58,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1490,18316.3,32,4569.06,14.7,0.57,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1196,19707.2,3,-12558,24.49,0.38,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1188,25313.34,35,8612.11,16.06,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1226,23300.12,9,-217.47,29.7,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_366,21921.28,43,10521.33,28.14,0.37,CORPORATE
OFFICE MACHINES,Prod_17,Cust_577,29186.49,38,11562.08,55.3,0.52,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_577,20265.22,47,6168.64,14.7,0.46,CORPORATE
OFFICE MACHINES,Prod_17,Cust_71,24559.91,47,7358.66,16.63,0.52,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_71,24051.49,41,9791.04,24.49,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1530,20872.16,29,-4437.91,24.49,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1268,6933.45,15,1200.21,49,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_582,19109.61,40,-379.29,24.49,0.36,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1154,16743.76,23,6079.63,24.49,0.36,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_1190,10281.79,20,3272.9,24.49,0.4,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1203,14383.83,37,5050.1,12.06,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1203,19100.45,40,6839.95,14.7,0.38,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_1587,21320.58,27,5381.02,16.06,0.39,CORPORATE
OFFICE MACHINES,Prod_17,Cust_1016,15464.01,33,4407.44,14.7,0.37,HOME OFFICE
OFFICE MACHINES,Prod_17,Cust_790,21320.58,27,5381.02,16.06,0.36,SMALL BUSINESS
LABELS,Prod_12,Cust_26,15602.93,48,4875.89,26.53,0.36,CORPORATE
LABELS,Prod_12,Cust_931,15703.82,20,3055.72,16.06,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_1710,10994.74,30,3612.58,48.26,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_1579,15152.55,34,7719.21,28.14,0.37,CORPORATE
LABELS,Prod_12,Cust_1579,244.39,20,114.1,0.5,0.38,CORPORATE
LABELS,Prod_12,Cust_45,75.73,24,29.46,0.5,0.39,CORPORATE
LABELS,Prod_12,Cust_1800,95.08,20,39.91,0.5,0.37,CORPORATE
LABELS,Prod_12,Cust_1423,53.89,8,17.63,0.5,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_1036,133.04,13,49.69,0.99,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_1618,79.44,27,29.85,0.5,0.36,CORPORATE
LABELS,Prod_12,Cust_1752,1505.57,47,-54.63,19.99,0.36,HOME OFFICE
LABELS,Prod_12,Cust_1752,28.39,6,3.84,0.49,0.39,HOME OFFICE
LABELS,Prod_12,Cust_1770,154.24,31,68.88,0.49,0.39,CORPORATE
LABELS,Prod_12,Cust_1770,134.81,46,52.36,0.49,0.39,CORPORATE
LABELS,Prod_12,Cust_53,69.06,21,28.47,0.5,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_560,38.24,11,-37.55,5.33,0.37,CORPORATE
LABELS,Prod_12,Cust_127,102.56,40,36.62,0.5,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_1384,162.57,42,75.8,0.5,0.36,SMALL BUSINESS
LABELS,Prod_12,Cust_1384,47.28,9,17.05,0.5,0.36,SMALL BUSINESS
LABELS,Prod_12,Cust_701,78.22,26,32.5,0.5,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_701,188.7,49,77.02,0.5,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_16,75.74,28,13.23,0.99,0.37,HOME OFFICE
LABELS,Prod_12,Cust_1772,67.45,25,24.28,0.5,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_1381,10.65,4,-0.64,0.5,0.36,CORPORATE
LABELS,Prod_12,Cust_1052,2455.54,25,1361.88,0.49,0.38,HOME OFFICE
LABELS,Prod_12,Cust_1675,128.28,21,53.58,0.5,0.36,CORPORATE
LABELS,Prod_12,Cust_1727,88.82,20,38.35,0.5,0.37,SMALL BUSINESS
LABELS,Prod_12,Cust_1439,110.79,39,42.68,0.5,0.36,HOME OFFICE
LABELS,Prod_12,Cust_212,35.17,11,5.58,0.99,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_939,75.6,26,17.14,0.99,0.38,HOME OFFICE
LABELS,Prod_12,Cust_939,29.23,10,8.1,0.5,0.36,HOME OFFICE
LABELS,Prod_12,Cust_444,24.3,5,3.14,0.5,0.37,CORPORATE
LABELS,Prod_12,Cust_928,76.94,15,29.67,0.99,0.39,CORPORATE
LABELS,Prod_12,Cust_1475,186.93,47,56.44,0.99,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_891,101.9,37,40.52,0.5,0.38,CORPORATE
LABELS,Prod_12,Cust_70,94.86,20,39.69,0.5,0.37,SMALL BUSINESS
LABELS,Prod_12,Cust_1457,111.04,40,45.1,0.5,0.36,HOME OFFICE
LABELS,Prod_12,Cust_1543,244.39,20,114.1,0.5,0.36,CORPORATE
LABELS,Prod_12,Cust_986,75.73,24,29.46,0.5,0.36,HOME OFFICE
LABELS,Prod_12,Cust_398,95.08,20,39.91,0.5,0.39,CORPORATE
LABELS,Prod_12,Cust_43,53.89,8,17.63,0.5,0.39,CORPORATE
LABELS,Prod_12,Cust_1596,209.02,32,101.8,0.5,0.36,HOME OFFICE
LABELS,Prod_12,Cust_489,133.04,13,49.69,0.99,0.39,CORPORATE
LABELS,Prod_12,Cust_1769,79.44,27,29.85,0.5,0.38,CORPORATE
LABELS,Prod_12,Cust_55,1505.57,47,-54.63,19.99,0.38,HOME OFFICE
LABELS,Prod_12,Cust_105,28.39,6,3.84,0.49,0.36,CORPORATE
LABELS,Prod_12,Cust_62,154.24,31,68.88,0.49,0.39,SMALL BUSINESS
LABELS,Prod_12,Cust_4,134.81,46,52.36,0.49,0.38,SMALL BUSINESS
LABELS,Prod_12,Cust_1481,69.06,21,28.47,0.5,0.36,SMALL BUSINESS
